 Effectiveness, Flexibility, Procrastination, Tuition_Fees,Extracurricular_Activities,Vision_Affected,Device_Availability,Internet_Access,Teachers_co-operation,Class_Particiption,University_Offering_Resources,Hardware_Courses,Economic_Condition,Dependency_on_private_tuition, Lab_Courses ,Cheating_In_Exam,Internet_Connection,Paper_Submission_Issues,Session_Jam,Grading_Policy
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Poor,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Very often,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Good,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Good,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Poor,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
Average,Agree,Yes,Yes,No,Maybe,Yes,Sometime it is difficult to connect,Always,Not always,Slightly helpful,Good decision but need to change few things,Poor,Poor,Unable to meet course requirements for further courses,Yes,Poor internet connection causes disruption,Poor internet connection,Session jam,Students go through more mental stress during online exam
